dataset,column,value
extra_variable_dataset,order_id,70-0511466
extra_variable_dataset,order_id,77-3489084
extra_variable_dataset,order_id,65-8218141
extra_variable_dataset,order_id,29-5478106
extra_variable_dataset,order_id,57-6602854
extra_variable_dataset,order_id,78-3301264
extra_variable_dataset,order_id,32-3124563
extra_variable_dataset,order_id,92-7042708
extra_variable_dataset,order_id,15-2994585
extra_variable_dataset,order_id,48-0713329
extra_variable_dataset,order_id,16-0987104
extra_variable_dataset,order_id,91-8142232
extra_variable_dataset,order_id,85-9787047
extra_variable_dataset,order_id,06-2196763
extra_variable_dataset,order_id,51-9029547
extra_variable_dataset,order_id,74-1131921
extra_variable_dataset,order_id,26-9787272
extra_variable_dataset,order_id,15-6838362
extra_variable_dataset,order_id,31-6585710
extra_variable_dataset,order_id,38-0584273
extra_variable_dataset,order_id,27-4115444
extra_variable_dataset,order_id,70-8991739
extra_variable_dataset,order_id,27-3437546
extra_variable_dataset,order_id,48-6452102
extra_variable_dataset,order_id,58-2028009
extra_variable_dataset,order_id,52-0695511
extra_variable_dataset,order_id,30-3460885
extra_variable_dataset,order_id,11-2653878
extra_variable_dataset,order_id,65-0792739
extra_variable_dataset,order_id,62-4331197
extra_variable_dataset,order_id,00-1398218
extra_variable_dataset,order_id,34-1570975
extra_variable_dataset,order_id,99-0862667
extra_variable_dataset,order_id,21-7461655
extra_variable_dataset,order_id,94-1762263
extra_variable_dataset,order_id,16-6855831
extra_variable_dataset,order_id,86-6107692
extra_variable_dataset,order_id,80-2242820
extra_variable_dataset,order_id,21-4033151
extra_variable_dataset,order_id,32-3534634
extra_variable_dataset,order_id,88-8436664
extra_variable_dataset,order_id,06-5566367
extra_variable_dataset,order_id,89-5350599
extra_variable_dataset,order_id,37-0756560
extra_variable_dataset,order_id,51-4531731
extra_variable_dataset,order_id,39-3209780
extra_variable_dataset,order_id,65-2022928
extra_variable_dataset,order_id,08-7576451
extra_variable_dataset,order_id,57-2968987
extra_variable_dataset,order_id,60-8646184
extra_variable_dataset,order_id,32-3418936
extra_variable_dataset,order_id,84-1343954
extra_variable_dataset,order_id,06-9596696
extra_variable_dataset,order_id,14-6700183
extra_variable_dataset,order_id,04-7976277
extra_variable_dataset,order_id,86-2962836
extra_variable_dataset,order_id,12-1257338
extra_variable_dataset,order_id,03-9337803
extra_variable_dataset,order_id,28-0849652
extra_variable_dataset,order_id,91-3344544
extra_variable_dataset,order_id,37-0857161
extra_variable_dataset,order_id,88-4621939
extra_variable_dataset,order_id,52-7280101
extra_variable_dataset,order_id,39-1671087
extra_variable_dataset,order_id,58-9821508
extra_variable_dataset,order_id,60-7777080
extra_variable_dataset,order_id,12-4881666
extra_variable_dataset,order_id,85-6263705
extra_variable_dataset,order_id,23-5766200
extra_variable_dataset,order_id,08-0446109
extra_variable_dataset,order_id,56-6310976
extra_variable_dataset,order_id,11-0955383
