dataset,column,value
fact_sales_dataset,order_number,SO54496
fact_sales_dataset,order_number,SO54497
fact_sales_dataset,order_number,SO54498
fact_sales_dataset,order_number,SO54499
fact_sales_dataset,order_number,SO54500
fact_sales_dataset,order_number,SO54501
fact_sales_dataset,order_number,SO54502
fact_sales_dataset,order_number,SO54503
fact_sales_dataset,order_number,SO54504
fact_sales_dataset,order_number,SO54505
fact_sales_dataset,order_number,SO54506
fact_sales_dataset,order_number,SO54507
fact_sales_dataset,order_number,SO54508
fact_sales_dataset,order_number,SO54509
fact_sales_dataset,order_number,SO54510
fact_sales_dataset,order_number,SO54511
fact_sales_dataset,order_number,SO54512
fact_sales_dataset,order_number,SO54513
fact_sales_dataset,order_number,SO54514
fact_sales_dataset,order_number,SO54515
fact_sales_dataset,order_number,SO54516
fact_sales_dataset,order_number,SO54517
fact_sales_dataset,order_number,SO54518
fact_sales_dataset,order_number,SO54519
fact_sales_dataset,order_number,SO54520
fact_sales_dataset,order_number,SO54521
fact_sales_dataset,order_number,SO54522
fact_sales_dataset,order_number,SO54523
fact_sales_dataset,order_number,SO54524
fact_sales_dataset,order_number,SO54525
fact_sales_dataset,order_number,SO54526
fact_sales_dataset,order_number,SO54527
fact_sales_dataset,order_number,SO54528
fact_sales_dataset,order_number,SO54529
fact_sales_dataset,order_number,SO54530
fact_sales_dataset,order_number,SO54531
fact_sales_dataset,order_number,SO54532
fact_sales_dataset,order_number,SO54533
fact_sales_dataset,order_number,SO54534
fact_sales_dataset,order_number,SO54535
fact_sales_dataset,order_number,SO54536
fact_sales_dataset,order_number,SO54537
fact_sales_dataset,order_number,SO54538
fact_sales_dataset,order_number,SO54539
fact_sales_dataset,order_number,SO54540
fact_sales_dataset,order_number,SO54541
fact_sales_dataset,order_number,SO54542
fact_sales_dataset,order_number,SO54543
fact_sales_dataset,order_number,SO54544
fact_sales_dataset,order_number,SO54545
fact_sales_dataset,order_number,SO54546
fact_sales_dataset,order_number,SO54547
fact_sales_dataset,order_number,SO54548
fact_sales_dataset,order_number,SO54549
fact_sales_dataset,order_number,SO54550
fact_sales_dataset,order_number,SO54551
fact_sales_dataset,order_number,SO54552
fact_sales_dataset,order_number,SO54553
fact_sales_dataset,order_number,SO54554
fact_sales_dataset,order_number,SO54555
fact_sales_dataset,order_number,SO54556
fact_sales_dataset,order_number,SO54557
fact_sales_dataset,order_number,SO54558
fact_sales_dataset,order_number,SO54559
fact_sales_dataset,order_number,SO54560
fact_sales_dataset,order_number,SO54561
fact_sales_dataset,order_number,SO54562
fact_sales_dataset,order_number,SO54563
fact_sales_dataset,order_number,SO54564
fact_sales_dataset,order_number,SO54565
fact_sales_dataset,order_number,SO54566
fact_sales_dataset,order_number,SO54567
fact_sales_dataset,order_number,SO54568
fact_sales_dataset,order_number,SO54569
fact_sales_dataset,order_number,SO54570
fact_sales_dataset,order_number,SO54571
fact_sales_dataset,order_number,SO54572
fact_sales_dataset,order_number,SO54573
fact_sales_dataset,order_number,SO54574
fact_sales_dataset,order_number,SO54575
fact_sales_dataset,order_number,SO54576
fact_sales_dataset,order_number,SO54577
fact_sales_dataset,order_number,SO54578
fact_sales_dataset,order_number,SO54579
fact_sales_dataset,order_number,SO54580
fact_sales_dataset,order_number,SO54581
fact_sales_dataset,order_number,SO54582
fact_sales_dataset,order_number,SO54583
fact_sales_dataset,order_number,SO54584
fact_sales_dataset,order_number,SO54585
fact_sales_dataset,order_number,SO54586
fact_sales_dataset,order_number,SO54587
fact_sales_dataset,order_number,SO54588
fact_sales_dataset,order_number,SO54589
fact_sales_dataset,order_number,SO54590
fact_sales_dataset,order_number,SO54591
fact_sales_dataset,order_number,SO54592
fact_sales_dataset,order_number,SO54593
fact_sales_dataset,order_number,SO54594
fact_sales_dataset,order_number,SO54595
fact_sales_dataset,order_number,SO54596
fact_sales_dataset,order_number,SO54597
fact_sales_dataset,order_number,SO54598
fact_sales_dataset,order_number,SO54599
