dataset,column,value
sales_dataset,country,Sweden
sales_dataset,country,France
sales_dataset,country,Portugal
sales_dataset,country,Italy
sales_dataset,country,Germany
sales_dataset,country,Luxembourg
sales_dataset,country,UK
sales_dataset,country,Bulgaria
sales_dataset,country,Finland
sales_dataset,country,Spain
sales_dataset,country,Ireland
sales_dataset,country,Denmark
sales_dataset,country,Netherlands
sales_dataset,country,Belgium
sales_dataset,country,Austria
sales_dataset,category,Games
sales_dataset,category,Appliances
sales_dataset,category,Electronics
sales_dataset,category,Clothing
sales_dataset,category,Smartphones
sales_dataset,category,Accessories
sales_dataset,category,Beauty
sales_dataset,category,Books
sales_dataset,category,Other
sales_dataset,category,Outdoors
sales_dataset,customer_name,Konopelski LLC
sales_dataset,customer_name,Wisoky Inc
sales_dataset,customer_name,Hegmann Group
sales_dataset,customer_name,Kirlin and Sons
sales_dataset,customer_name,Labadie and Sons
sales_dataset,customer_name,Romaguera-Dietrich
sales_dataset,customer_name,Connelly-Mohr
sales_dataset,customer_name,Johns and Sons
sales_dataset,customer_name,"Jacobson, Marvin and Brown"
sales_dataset,customer_name,"Fisher, Morar and Skiles"
sales_dataset,customer_name,O'Connell-Mitchell
sales_dataset,customer_name,"Hamill, Kulas and Roob"
sales_dataset,customer_name,Friesen-Rath
sales_dataset,customer_name,Friesen and Sons
sales_dataset,customer_name,Kihn Inc
sales_dataset,customer_name,"Lueilwitz, Kerluke and Lesch"
sales_dataset,customer_name,"Shanahan, Schaden and Parker"
sales_dataset,customer_name,Wiza and Sons
sales_dataset,customer_name,"Dickinson, Hyatt and Berge"
sales_dataset,customer_name,Schoen-Keeling
sales_dataset,customer_name,Franecki-White
sales_dataset,customer_name,Altenwerth-Konopelski
sales_dataset,customer_name,"Spencer, Rogahn and Muller"
sales_dataset,customer_name,Hessel-Stiedemann
sales_dataset,customer_name,"Zieme, Bailey and Herzog"
sales_dataset,customer_name,Morissette Group
sales_dataset,customer_name,Armstrong-Little
sales_dataset,customer_name,Tillman and Sons
sales_dataset,customer_name,"Swaniawski, Runolfsson and Green"
sales_dataset,customer_name,McGlynn-Bergstrom
sales_dataset,customer_name,"Bashirian, Okuneva and Bechtelar"
sales_dataset,customer_name,"Rowe, Hermiston and Kessler"
sales_dataset,customer_name,"Schowalter, Lesch and Beahan"
sales_dataset,customer_name,Romaguera-Haley
sales_dataset,customer_name,Wyman Group
sales_dataset,customer_name,Dibbert Inc
sales_dataset,customer_name,"Parisian, Steuber and Satterfield"
sales_dataset,customer_name,"Abbott, Roberts and Torp"
sales_dataset,customer_name,Homenick-Marvin
sales_dataset,customer_name,Smith Group
sales_dataset,customer_name,McGlynn-Prosacco
sales_dataset,customer_name,"Keeling, Monahan and Pollich"
sales_dataset,customer_name,"Christiansen, Donnelly and Bechtelar"
sales_dataset,customer_name,Stehr-Bogan
sales_dataset,customer_name,"Leffler, Prohaska and Streich"
sales_dataset,customer_name,Corwin and Sons
